,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
297,35,0,1,1232.0,399,16,3,147,1,406.0,3,781,96.0,3,3,287,2,614,8020.0,5100,0,1320,939,15,3,3,80,2,12,3,2,11,9,6,9
299,51,0,1,1302.0,864,2,3,414,1,408.0,4,781,84.0,1,2,132,2,283,5482.0,16321,5,1320,939,18,3,4,80,1,13,3,3,4,1,1,2
300,41,0,1,334.0,399,2,4,543,1,410.0,4,781,88.0,3,4,90,2,423,16015.0,15896,1,1320,939,19,3,2,80,0,22,2,3,22,10,0,4
301,18,0,1,812.0,399,10,3,414,1,411.0,4,539,69.0,2,1,78,3,423,1200.0,9724,1,1320,939,12,3,1,80,0,0,2,3,0,0,0,0
302,28,0,1,1476.0,864,16,2,414,1,412.0,2,781,68.0,4,2,116,1,423,5661.0,4824,0,1320,939,19,3,3,80,0,9,2,3,8,3,0,7
303,31,0,1,218.0,399,7,3,118,1,416.0,2,781,100.0,4,2,287,4,614,6929.0,12241,4,1320,939,11,3,2,80,1,10,3,2,8,7,7,7
304,39,0,1,1132.0,864,1,3,414,1,417.0,3,781,48.0,4,3,116,4,283,9613.0,10942,0,1320,939,17,3,1,80,3,19,5,2,18,10,3,7
306,32,0,1,906.0,399,7,3,543,1,420.0,4,781,91.0,2,2,287,3,614,5484.0,16985,1,1320,939,14,3,3,80,1,13,3,2,13,8,4,8
307,38,0,1,849.0,864,25,2,543,1,421.0,1,539,81.0,2,3,74,2,614,12061.0,26707,3,1320,939,17,3,3,80,1,19,2,3,10,8,0,1
309,31,0,1,691.0,864,5,4,118,1,423.0,3,781,86.0,3,1,264,4,614,4821.0,10077,0,1320,381,12,3,3,80,1,6,4,3,5,2,0,3
310,31,0,1,106.0,57,2,3,23,1,424.0,1,781,62.0,2,2,48,1,614,6410.0,17822,3,1320,939,12,3,4,80,0,9,1,3,2,2,1,0
312,31,0,1,192.0,864,2,4,543,1,426.0,3,781,32.0,3,1,264,4,283,2695.0,7747,0,1320,381,18,3,2,80,1,3,2,1,2,2,2,2
314,39,0,1,117.0,864,10,1,414,1,429.0,3,781,99.0,3,4,90,1,614,17068.0,5355,1,1320,381,14,3,4,80,0,21,3,3,21,9,11,10
316,49,0,1,1091.0,864,1,2,118,1,431.0,3,539,90.0,2,4,116,3,423,13964.0,17810,7,1320,381,12,3,4,80,0,25,2,3,7,1,0,7
317,52,1,1,723.0,864,8,4,414,1,433.0,3,781,85.0,2,2,264,2,614,4941.0,17747,2,1320,939,15,3,1,80,0,11,3,2,8,2,7,7
318,27,0,1,1220.0,864,5,3,543,1,434.0,3,539,85.0,3,1,264,2,423,2478.0,20938,1,1320,381,12,3,2,80,0,4,2,2,4,3,1,2
319,32,0,1,588.0,399,8,2,118,1,436.0,3,539,65.0,2,2,287,2,614,5228.0,24624,1,1320,381,11,3,4,80,0,13,2,3,13,12,11,9
320,27,0,1,1377.0,399,2,3,543,1,437.0,4,781,74.0,3,2,287,3,423,4478.0,5242,1,1320,381,11,3,1,80,0,5,3,3,5,4,0,4
321,31,0,1,691.0,399,7,3,147,1,438.0,4,781,73.0,3,2,287,4,283,7547.0,7143,4,1320,939,12,3,4,80,3,13,3,3,7,7,1,7
322,32,0,1,1018.0,864,2,4,414,1,439.0,1,539,74.0,4,2,264,4,423,5055.0,10557,7,1320,939,16,3,3,80,0,10,0,2,7,7,0,7
323,28,1,1,1157.0,864,2,4,414,1,440.0,1,781,84.0,1,1,264,4,614,3464.0,24737,5,1320,381,13,3,4,80,0,5,4,2,3,2,2,2
324,30,0,1,1275.0,864,28,2,414,1,441.0,4,539,64.0,3,2,264,4,614,5775.0,11934,1,1320,939,13,3,4,80,2,11,2,3,10,8,1,9
327,39,1,1,1162.0,399,3,2,414,1,445.0,4,539,41.0,3,2,287,3,614,5238.0,17778,4,1320,381,18,3,1,80,0,12,3,2,1,0,0,0
329,47,0,1,1482.0,864,5,5,543,1,447.0,4,781,42.0,3,5,74,3,614,18034.8125,16375,4,1320,939,11,3,2,80,1,21,2,3,3,2,1,1
333,43,0,1,1001.0,864,7,3,543,1,451.0,3,539,43.0,3,3,116,1,614,9985.0,9262,8,1320,939,16,3,1,80,1,10,1,2,1,0,0,0
334,45,0,1,549.0,864,8,4,75,1,452.0,4,781,75.0,3,2,264,4,614,3697.0,9278,9,1320,939,14,3,1,80,2,12,3,3,10,9,9,8
335,40,0,1,1124.0,399,1,2,414,1,453.0,2,781,57.0,1,2,287,4,614,7457.0,13273,2,1320,381,22,4,3,80,3,6,2,2,4,3,0,2
336,29,1,1,318.0,864,8,4,75,1,454.0,2,781,77.0,1,1,231,1,614,2119.0,4759,1,1320,381,11,3,4,80,0,7,4,2,7,7,0,7
337,29,0,1,738.0,864,9,5,75,1,455.0,2,781,30.0,2,1,231,4,423,3983.0,7621,0,1320,939,17,3,3,80,0,4,2,3,3,2,2,2
338,30,0,1,570.0,399,5,3,147,1,456.0,4,539,30.0,2,2,287,3,283,6118.0,5431,1,1320,939,13,3,3,80,3,10,2,3,10,9,1,2
339,27,0,1,1130.0,399,8,4,147,1,458.0,2,539,56.0,3,2,287,2,614,6214.0,3415,1,1320,939,18,3,1,80,1,8,3,3,8,7,0,7
340,37,0,1,1192.0,864,5,2,414,1,460.0,4,781,61.0,3,2,132,4,283,6347.0,23177,7,1320,939,16,3,3,80,2,8,2,2,6,2,0,4
341,38,0,1,343.0,864,15,2,543,1,461.0,3,781,92.0,2,3,74,4,283,11510.0,15682,0,1320,381,14,3,2,80,1,12,3,3,11,10,2,9
342,31,0,1,1232.0,864,7,4,414,1,462.0,3,539,39.0,3,3,132,4,423,7143.0,25713,1,1320,381,14,3,3,80,0,11,2,2,11,9,4,10
343,29,0,1,144.0,399,10,1,147,1,463.0,4,539,39.0,2,2,287,2,283,8268.0,11866,1,1320,381,14,3,1,80,2,7,2,3,7,7,1,7
344,35,0,1,1296.0,864,5,4,118,1,464.0,3,781,62.0,3,3,132,2,423,8095.0,18264,0,1320,939,13,3,4,80,0,17,5,3,16,6,0,13
345,23,0,1,1309.0,864,26,1,543,1,465.0,3,781,83.0,3,1,264,4,283,2904.0,16092,1,1320,939,12,3,3,80,2,4,2,2,4,2,0,2
346,41,0,1,483.0,864,6,3,414,1,466.0,4,781,95.0,2,2,132,2,423,6032.0,10110,6,1320,381,15,3,4,80,0,8,3,3,5,4,1,2
348,42,0,1,810.0,864,23,5,543,1,468.0,1,539,44.0,3,4,74,4,423,15992.0,15901,2,1320,939,14,3,2,80,0,16,2,3,1,0,0,0
350,42,0,1,544.0,57,2,1,118,1,470.0,3,781,52.0,3,1,48,3,283,2696.0,24017,0,1320,381,11,3,3,80,1,4,5,3,3,2,1,0
351,32,0,1,1062.0,864,2,3,414,1,471.0,3,539,75.0,3,1,231,2,614,2370.0,3956,1,1320,939,13,3,3,80,1,8,4,3,8,0,0,7
352,48,0,1,530.0,399,29,1,414,1,473.0,1,539,91.0,3,3,90,3,614,12504.0,23978,3,1320,939,21,4,2,80,1,15,3,1,0,0,0,0
353,37,0,1,1319.0,864,6,3,414,1,474.0,3,781,51.0,4,2,264,1,283,5974.0,17001,4,1320,381,13,3,1,80,2,13,2,3,7,7,6,7
355,26,0,1,933.0,399,1,3,543,1,476.0,3,781,57.0,3,2,287,3,614,5296.0,20156,1,1320,939,17,3,2,80,1,8,3,3,8,7,7,7
356,42,0,1,1332.0,864,2,4,75,1,477.0,1,781,98.0,2,2,116,4,423,6781.0,17078,3,1320,939,23,4,2,80,0,14,6,3,1,0,0,0
360,57,0,1,593.0,864,1,4,414,1,482.0,4,781,88.0,3,2,116,3,614,6755.0,2967,2,1320,939,11,3,3,80,0,15,2,3,3,2,1,2
361,40,0,1,1171.0,864,10,4,543,1,483.0,4,539,46.0,4,1,231,3,614,2213.0,22495,3,1320,381,13,3,3,80,1,10,3,3,7,7,1,7
363,33,1,1,350.0,399,5,3,147,1,485.0,4,539,34.0,3,1,78,3,423,2851.0,9150,1,1320,381,13,3,2,80,0,1,2,3,1,0,0,0
364,37,0,1,921.0,864,10,3,414,1,486.0,3,539,98.0,3,1,231,1,614,3452.0,17663,6,1320,939,20,4,2,80,1,17,3,3,5,4,0,3
367,50,0,1,1046.0,864,10,3,118,1,491.0,4,781,100.0,2,3,116,4,423,10496.0,2755,6,1320,939,15,3,4,80,0,20,2,3,4,3,1,3
368,40,1,1,575.0,399,22,2,147,1,492.0,3,781,68.0,2,2,287,3,614,6380.0,6110,2,1320,381,12,3,1,80,2,8,6,3,6,4,1,0
369,31,0,1,408.0,864,9,4,543,1,493.0,3,781,42.0,2,1,264,2,423,2657.0,7551,0,1320,381,16,3,4,80,0,3,5,3,2,2,2,2
370,21,1,1,156.0,399,12,3,543,1,494.0,3,539,90.0,4,1,78,2,423,2716.0,25422,1,1320,939,15,3,4,80,0,1,0,3,1,0,0,0
371,29,0,1,1283.0,864,23,3,543,1,495.0,4,781,54.0,3,1,264,4,423,2201.0,18168,9,1320,939,16,3,4,80,0,6,4,3,3,2,1,2
372,35,0,1,755.0,864,9,4,543,1,496.0,3,781,97.0,2,2,116,2,423,6540.0,19394,9,1320,939,19,3,3,80,0,10,5,3,1,1,0,0
373,27,0,1,1469.0,864,1,2,414,1,497.0,4,781,82.0,3,1,231,2,283,3816.0,17881,1,1320,939,11,3,2,80,1,5,2,3,5,2,0,4
374,28,0,1,304.0,399,9,4,543,1,498.0,2,781,92.0,3,2,287,4,423,5253.0,20750,1,1320,939,16,3,4,80,0,7,1,3,7,5,0,7
375,49,0,1,1261.0,864,7,3,75,1,499.0,2,781,31.0,2,3,116,3,423,10965.0,12066,8,1320,939,24,4,3,80,0,26,2,3,5,2,0,0
376,51,0,1,1178.0,399,14,2,543,1,500.0,3,539,87.0,3,2,287,4,614,4936.0,14862,4,1320,939,11,3,3,80,1,18,2,2,7,7,0,7
377,36,0,1,329.0,864,2,3,543,1,501.0,4,539,96.0,3,1,264,3,614,2543.0,11868,4,1320,939,13,3,2,80,1,6,3,3,2,2,2,2
379,55,0,1,1311.0,864,2,3,543,1,505.0,3,539,97.0,3,4,90,4,423,16659.0,23258,2,1320,381,13,3,3,80,0,30,2,3,5,4,1,2
380,24,0,1,1371.0,399,10,4,147,1,507.0,4,539,77.0,3,2,287,3,283,4260.0,5915,1,1320,381,12,3,4,80,1,5,2,4,5,2,0,3
381,30,0,1,202.0,399,2,1,118,1,508.0,3,781,72.0,3,1,78,2,614,2476.0,17434,1,1320,939,18,3,1,80,1,1,3,3,1,0,0,0
383,22,0,1,253.0,864,11,3,414,1,511.0,1,539,43.0,3,1,264,2,614,2244.0,24440,1,1320,939,13,3,4,80,1,2,1,3,2,1,1,2
384,36,0,1,164.0,399,2,2,414,1,513.0,2,781,61.0,2,3,287,3,614,7596.0,3809,1,1320,939,13,3,2,80,2,10,2,3,10,9,9,0
386,37,0,1,1107.0,864,14,3,543,1,515.0,4,539,95.0,3,1,231,1,283,3034.0,26914,1,1320,939,12,3,3,80,1,18,2,2,18,7,12,17
387,40,0,1,759.0,399,2,2,147,1,516.0,4,539,46.0,3,2,287,2,283,5715.0,22553,7,1320,939,12,3,3,80,2,8,5,3,5,4,1,3
388,42,0,1,201.0,864,1,4,543,1,517.0,2,539,95.0,3,1,231,1,283,2576.0,20490,3,1320,939,16,3,2,80,1,8,5,3,5,2,1,2
389,37,0,1,1305.0,864,10,4,543,1,518.0,3,781,49.0,3,2,132,2,423,4197.0,21123,2,1320,381,12,3,4,80,0,18,2,2,1,0,0,1
390,43,0,1,982.0,864,12,3,543,1,520.0,1,781,59.0,2,4,74,2,283,14336.0,4345,1,1320,939,11,3,3,80,1,25,3,3,25,10,3,9
391,40,0,1,555.0,864,2,3,414,1,521.0,2,539,78.0,2,2,231,3,614,3448.0,13436,6,1320,939,22,4,2,80,1,20,3,3,1,0,0,0
392,54,0,1,821.0,864,5,2,414,1,522.0,1,781,86.0,3,5,74,1,614,18034.8125,8509,4,1320,939,11,3,3,80,1,24,4,2,4,2,1,2
394,31,0,1,480.0,864,7,2,414,1,524.0,2,539,31.0,3,2,132,1,614,4306.0,4156,1,1320,939,12,3,2,80,1,13,5,1,13,10,3,12
396,43,0,1,1473.0,864,8,4,75,1,526.0,3,539,74.0,3,2,116,3,283,4522.0,2227,4,1320,381,14,3,4,80,0,8,3,3,5,2,0,2
397,25,0,1,891.0,399,4,2,543,1,527.0,2,539,99.0,2,2,287,4,423,4487.0,12090,1,1320,381,11,3,2,80,0,5,3,3,5,4,1,3
399,31,0,1,329.0,864,1,2,543,1,530.0,4,781,98.0,2,1,231,1,614,2218.0,16193,1,1320,939,12,3,3,80,1,4,3,3,4,2,3,2
402,30,0,1,1082.0,399,12,3,118,1,533.0,2,539,83.0,3,2,287,3,423,6577.0,19558,0,1320,939,11,3,2,80,0,6,6,3,5,4,4,4
403,41,0,1,645.0,399,1,3,147,1,534.0,2,781,49.0,4,3,287,1,614,8392.0,19566,1,1320,939,16,3,3,80,1,10,2,3,10,7,0,7
404,28,0,1,1300.0,864,17,2,414,1,536.0,3,781,79.0,3,2,231,1,283,4558.0,13535,1,1320,939,12,3,4,80,1,10,2,3,10,0,1,8
405,25,1,1,688.0,864,3,3,414,1,538.0,1,781,91.0,3,1,231,1,614,4031.0,9396,5,1320,939,13,3,3,80,1,6,5,3,2,2,0,2
406,52,0,1,319.0,864,3,3,414,1,543.0,4,781,39.0,2,3,132,3,614,7969.0,19609,2,1320,381,14,3,3,80,0,28,4,3,5,4,0,4
407,45,0,1,192.0,864,10,2,543,1,544.0,1,781,69.0,3,1,264,4,614,2654.0,9655,3,1320,939,21,4,4,80,2,8,3,2,2,2,0,2
408,52,0,1,1490.0,864,4,2,543,1,546.0,4,539,30.0,3,4,90,4,614,16555.0,10310,2,1320,939,13,3,4,80,0,31,2,1,5,2,1,4
410,30,0,1,317.0,864,2,3,543,1,548.0,3,539,43.0,1,2,132,4,423,6091.0,24793,2,1320,939,20,4,3,80,0,11,2,3,5,4,0,2
411,60,0,1,422.0,864,7,3,543,1,549.0,1,539,41.0,3,5,90,1,614,18034.8125,3854,5,1320,939,11,3,4,80,0,33,5,1,29,8,11,10
412,46,0,1,1485.0,864,18,3,414,1,550.0,3,539,87.0,3,2,132,3,283,4810.0,26314,2,1320,939,14,3,3,80,1,19,5,2,10,7,0,8
414,24,1,1,1448.0,399,1,1,118,1,554.0,1,539,62.0,3,1,78,2,423,3202.0,21972,1,1320,381,16,3,2,80,0,6,4,3,5,3,1,4
417,40,0,1,1398.0,399,2,4,543,1,558.0,3,539,79.0,3,5,90,3,614,18034.8125,13022,0,1320,939,14,3,4,80,0,21,2,3,20,15,1,12
418,26,0,1,1349.0,864,23,3,543,1,560.0,1,539,90.0,3,1,264,4,283,2886.0,3032,1,1320,939,22,4,2,80,2,3,3,1,3,2,0,2
420,29,0,1,986.0,864,3,4,414,1,564.0,2,781,93.0,2,3,74,3,614,11935.0,21526,1,1320,939,18,3,3,80,0,10,2,3,10,2,0,7
421,29,1,1,408.0,864,25,5,118,1,565.0,3,539,71.0,2,1,264,2,614,2546.0,18300,5,1320,939,16,3,2,80,0,6,2,4,2,2,1,1
422,19,1,1,489.0,57,2,2,118,1,566.0,1,781,52.0,2,1,48,4,423,2564.0,18437,1,1320,939,12,3,3,80,0,1,3,4,1,0,0,0
424,57,0,1,210.0,399,29,3,147,1,568.0,1,781,56.0,2,4,90,4,283,14118.0,22102,3,1320,939,12,3,3,80,1,32,3,2,1,0,0,0
425,50,0,1,1099.0,864,29,4,543,1,569.0,2,781,88.0,2,4,90,3,614,17046.0,9314,0,1320,939,15,3,2,80,1,28,2,3,27,10,15,7
428,47,0,1,983.0,864,2,2,414,1,574.0,1,539,65.0,3,2,132,4,283,5070.0,7389,5,1320,939,13,3,3,80,3,20,2,3,5,0,0,4
429,46,0,1,1009.0,864,2,3,543,1,575.0,1,781,51.0,3,4,74,3,614,17861.0,2288,6,1320,939,13,3,3,80,0,26,2,1,3,2,0,1
430,35,0,1,144.0,864,22,3,543,1,577.0,4,781,46.0,1,1,231,3,423,4230.0,19225,0,1320,939,15,3,3,80,0,6,2,3,5,4,4,3
431,54,0,1,548.0,864,8,4,543,1,578.0,3,539,42.0,3,2,231,3,423,3780.0,23428,7,1320,939,11,3,3,80,0,19,3,3,1,0,0,0
432,34,0,1,1303.0,864,2,4,543,1,579.0,4,781,62.0,2,1,264,3,283,2768.0,8416,3,1320,939,12,3,3,80,1,14,3,3,7,3,5,7
433,46,0,1,1125.0,399,10,3,147,1,580.0,3,539,94.0,2,3,287,4,614,9071.0,11563,2,1320,381,19,3,3,80,1,15,3,3,3,2,1,2
434,31,0,1,1274.0,864,9,1,543,1,581.0,3,781,33.0,3,3,132,2,283,10648.0,14394,1,1320,939,25,4,4,80,1,13,6,4,13,8,0,8
435,33,1,1,1277.0,864,15,1,414,1,582.0,2,781,56.0,3,3,90,3,614,13610.0,24619,7,1320,381,12,3,4,80,0,15,2,4,7,6,7,7
436,33,1,1,587.0,864,10,1,414,1,584.0,1,781,38.0,1,1,231,4,283,3408.0,6705,7,1320,939,13,3,1,80,3,8,2,3,4,3,1,3
437,30,0,1,413.0,399,7,1,147,1,585.0,4,781,57.0,3,1,78,2,423,2983.0,18398,0,1320,939,14,3,1,80,0,4,3,3,3,2,1,2
438,35,0,1,1276.0,864,16,3,543,1,586.0,4,781,72.0,3,3,116,3,614,7632.0,14295,4,1320,381,12,3,3,80,0,10,2,3,8,7,0,0
444,48,0,1,163.0,399,2,5,147,1,595.0,2,539,37.0,3,2,287,4,614,4051.0,19658,2,1320,939,14,3,1,80,1,14,2,3,9,7,6,7
445,55,0,1,1117.0,399,18,5,543,1,597.0,1,539,83.0,3,4,90,2,423,16835.0,9873,3,1320,939,23,4,4,80,0,37,2,3,10,9,7,7
447,35,0,1,619.0,399,1,3,147,1,600.0,2,781,85.0,3,2,287,3,614,4717.0,18659,9,1320,939,11,3,3,80,0,15,2,3,11,9,6,9
448,40,0,1,302.0,864,6,3,543,1,601.0,2,539,75.0,3,4,132,3,423,13237.0,20364,7,1320,939,15,3,3,80,0,22,3,3,20,6,5,13
450,31,0,1,828.0,399,2,1,543,1,604.0,2,781,77.0,3,2,287,4,423,6582.0,8346,4,1320,381,13,3,3,80,0,10,2,4,6,5,0,5
451,42,0,1,319.0,864,24,3,414,1,605.0,4,781,56.0,3,3,132,1,614,7406.0,6950,1,1320,381,21,4,4,80,1,10,5,2,10,9,5,8
452,45,0,1,561.0,399,2,3,75,1,606.0,4,781,61.0,3,2,287,2,614,4805.0,16177,0,1320,939,19,3,2,80,1,9,3,4,8,7,3,7
454,29,0,1,232.0,864,19,3,118,1,611.0,4,781,34.0,3,2,132,4,283,4262.0,22645,4,1320,939,12,3,2,80,2,8,2,4,3,2,1,2
455,33,0,1,922.0,864,1,5,414,1,612.0,1,539,95.0,4,4,74,3,283,16184.0,22578,4,1320,939,19,3,3,80,1,10,2,3,6,1,0,5
456,31,0,1,688.0,399,7,3,543,1,613.0,3,781,44.0,2,3,90,4,283,11557.0,25291,9,1320,939,21,4,3,80,1,10,3,2,5,4,0,1
460,26,0,1,775.0,399,29,2,414,1,618.0,1,781,45.0,3,2,287,3,283,4306.0,4267,5,1320,939,12,3,1,80,2,8,5,3,0,0,0,0
461,35,0,1,195.0,399,1,3,414,1,620.0,1,539,80.0,3,2,287,3,423,4859.0,6698,1,1320,939,16,3,4,80,0,5,3,3,5,4,0,3
462,34,0,1,258.0,399,21,4,543,1,621.0,4,781,74.0,4,2,287,4,423,5337.0,19921,1,1320,939,12,3,4,80,0,10,3,3,10,7,5,7
463,26,1,1,471.0,864,24,3,118,1,622.0,3,781,66.0,1,1,231,4,423,2340.0,23213,1,1320,381,18,3,2,80,0,1,3,1,1,0,0,0
464,37,0,1,799.0,864,1,3,118,1,623.0,2,539,59.0,3,3,132,4,423,7491.0,23848,4,1320,939,17,3,4,80,0,12,3,4,6,5,1,2
466,41,0,1,1276.0,399,2,5,543,1,625.0,2,539,91.0,3,4,90,1,614,16595.0,5626,7,1320,939,16,3,2,80,1,22,2,3,18,16,11,8
468,52,0,1,956.0,864,6,2,118,1,630.0,4,781,78.0,3,2,264,1,283,5577.0,22087,3,1320,381,12,3,2,80,2,18,3,3,10,9,6,9
471,38,0,1,1495.0,864,10,3,414,1,634.0,3,539,76.0,3,2,116,3,614,9824.0,22174,3,1320,939,19,3,3,80,1,18,4,3,1,0,0,0
472,37,0,1,446.0,864,1,4,543,1,635.0,2,539,65.0,3,2,132,2,614,6447.0,15701,6,1320,939,12,3,2,80,1,8,2,2,6,5,4,3
473,49,0,1,1245.0,864,18,4,543,1,638.0,4,781,58.0,2,5,74,3,283,18034.8125,2125,1,1320,381,17,3,3,80,1,31,5,3,31,9,0,9
474,24,0,1,691.0,864,23,3,414,1,639.0,2,781,89.0,4,1,264,4,614,2725.0,21630,1,1320,381,11,3,2,80,2,6,3,3,6,5,1,4
475,26,0,1,703.0,399,28,2,147,1,641.0,1,781,66.0,3,2,287,2,614,6272.0,7428,1,1320,939,20,4,4,80,2,6,5,4,5,3,1,4
476,24,0,1,823.0,864,17,2,75,1,643.0,4,781,94.0,2,1,231,2,614,2127.0,9100,1,1320,939,21,4,4,80,1,1,2,3,1,0,0,0
478,25,0,1,622.0,399,13,1,414,1,645.0,2,781,40.0,3,1,78,3,614,2096.0,26376,1,1320,939,11,3,3,80,0,7,1,3,7,4,0,6
481,34,0,1,254.0,864,1,2,543,1,649.0,2,781,83.0,2,1,264,4,614,3622.0,22794,1,1320,381,13,3,4,80,1,6,3,3,6,5,1,3
482,31,1,1,1365.0,399,13,4,414,1,650.0,2,781,46.0,3,2,287,1,283,4233.0,11512,2,1320,939,17,3,3,80,0,9,2,1,3,1,1,2
483,35,0,1,538.0,864,25,2,75,1,652.0,1,781,54.0,2,2,231,4,423,3681.0,14004,4,1320,939,14,3,4,80,0,9,3,3,3,2,0,2
484,31,0,1,525.0,399,6,4,414,1,653.0,1,781,66.0,4,2,287,4,283,5460.0,6219,4,1320,939,22,4,4,80,2,13,4,4,7,7,5,7
485,27,0,1,798.0,864,6,4,414,1,655.0,1,539,66.0,2,1,264,3,283,2187.0,5013,0,1320,939,12,3,3,80,2,6,5,2,5,3,0,3
486,37,0,1,558.0,399,2,3,147,1,656.0,4,781,75.0,3,2,287,3,614,9602.0,3010,4,1320,381,11,3,3,80,1,17,3,2,3,0,1,0
487,20,0,1,959.0,864,1,3,543,1,657.0,4,539,83.0,2,1,264,2,423,2836.0,11757,1,1320,939,13,3,4,80,0,1,0,4,1,0,0,0
488,42,0,1,622.0,864,2,4,543,1,659.0,3,539,81.0,3,2,116,4,614,4089.0,5718,1,1320,939,13,3,2,80,2,10,4,3,10,2,2,2
489,43,0,1,782.0,864,6,4,75,1,661.0,2,781,50.0,2,4,74,4,283,16627.0,2671,4,1320,381,14,3,3,80,1,21,3,2,1,0,0,0
490,38,0,1,362.0,864,1,1,543,1,662.0,3,539,43.0,3,1,264,1,423,2619.0,14561,3,1320,939,17,3,4,80,0,8,3,2,0,0,0,0
492,48,0,1,1236.0,864,1,4,543,1,664.0,4,539,40.0,2,4,90,1,614,15402.0,17997,7,1320,939,11,3,1,80,1,21,3,1,3,2,0,2
493,44,0,1,1112.0,57,1,4,543,1,665.0,1,539,50.0,2,2,48,3,423,5985.0,26894,4,1320,939,11,3,2,80,0,10,1,4,2,2,0,2
494,34,0,1,204.0,399,14,3,118,1,666.0,3,539,31.0,3,1,78,3,283,2579.0,2912,1,1320,381,18,3,4,80,2,8,3,3,8,2,0,6
495,27,1,1,1420.0,399,2,1,147,1,667.0,3,781,85.0,3,1,78,1,283,3041.0,16346,0,1320,939,11,3,2,80,1,5,3,3,4,3,0,2
496,21,0,1,1343.0,399,22,1,118,1,669.0,3,781,49.0,3,1,78,3,423,3447.0,24444,1,1320,939,11,3,3,80,0,3,2,3,3,2,1,2
497,44,0,1,1315.0,864,3,4,75,1,671.0,4,781,35.0,3,5,90,4,614,18034.8125,9358,4,1320,381,12,3,1,80,1,26,2,4,2,2,0,1
498,22,0,1,604.0,864,6,1,414,1,675.0,1,781,69.0,3,1,264,3,614,2773.0,12145,0,1320,939,20,4,4,80,0,3,3,3,2,2,2,2
499,33,0,1,1216.0,399,8,4,147,1,677.0,3,781,39.0,3,2,287,3,283,7104.0,20431,0,1320,939,12,3,4,80,0,6,3,3,5,0,1,2
500,32,0,1,646.0,864,9,4,543,1,679.0,1,539,92.0,3,2,264,4,614,6322.0,18089,1,1320,381,12,3,4,80,1,6,2,2,6,4,0,5
502,53,0,1,238.0,399,1,1,414,1,682.0,4,539,34.0,3,2,287,1,423,8381.0,7507,7,1320,939,20,4,4,80,0,18,2,4,14,7,8,10
503,34,0,1,1397.0,864,1,5,543,1,683.0,2,781,42.0,3,1,264,4,614,2691.0,7660,1,1320,939,12,3,4,80,1,10,4,2,10,9,8,8
505,26,0,1,991.0,864,6,3,543,1,686.0,3,539,71.0,3,1,231,4,614,2659.0,17759,1,1320,381,13,3,3,80,1,3,2,3,3,2,0,2
506,37,0,1,482.0,864,3,3,75,1,689.0,3,781,36.0,3,3,132,3,614,9434.0,9606,1,1320,939,15,3,3,80,1,10,2,3,10,7,7,8
507,29,0,1,1176.0,399,3,2,414,1,690.0,2,539,62.0,3,2,287,3,614,5561.0,3487,1,1320,939,14,3,1,80,1,6,5,2,6,0,1,2
508,35,0,1,1017.0,864,6,4,543,1,691.0,2,781,82.0,1,2,264,4,423,6646.0,19368,1,1320,939,13,3,2,80,0,17,3,3,17,11,11,8
510,54,0,1,397.0,57,19,4,414,1,698.0,3,781,88.0,3,3,48,2,614,10725.0,6729,2,1320,939,15,3,3,80,1,16,1,4,9,7,7,1
511,36,0,1,913.0,864,9,2,414,1,699.0,2,781,48.0,2,2,132,2,283,8847.0,13934,2,1320,381,11,3,3,80,1,13,2,3,3,2,0,2
512,27,0,1,1115.0,864,3,4,414,1,700.0,1,781,54.0,2,1,264,4,423,2045.0,15174,0,1320,939,13,3,4,80,0,5,0,3,4,2,1,1
513,20,1,1,1362.0,864,10,1,414,1,701.0,4,781,32.0,3,1,264,3,423,1009.0,26999,1,1320,381,11,3,4,80,0,1,5,3,1,0,1,1
516,23,0,1,885.0,864,4,3,414,1,705.0,1,781,58.0,4,1,264,1,614,2819.0,8544,2,1320,939,16,3,1,80,1,5,3,4,3,2,0,2
517,25,0,1,810.0,399,8,3,543,1,707.0,4,781,57.0,4,2,287,2,614,4851.0,15678,0,1320,939,22,4,3,80,1,4,4,3,3,2,1,2
518,38,0,1,243.0,399,7,4,147,1,709.0,4,539,46.0,2,2,287,4,423,4028.0,7791,0,1320,939,20,4,1,80,0,8,2,3,7,7,0,5
520,48,0,1,817.0,399,2,1,147,1,712.0,2,781,56.0,4,2,287,2,614,8120.0,18597,3,1320,939,12,3,4,80,0,12,3,3,2,2,2,2
522,37,0,1,1225.0,864,10,2,543,1,715.0,4,781,80.0,4,1,264,4,423,4680.0,15232,3,1320,939,17,3,1,80,0,4,2,3,1,0,0,0
523,50,0,1,1207.0,864,28,1,414,1,716.0,4,781,74.0,4,1,231,3,614,3221.0,3297,1,1320,381,11,3,3,80,3,20,3,3,20,8,3,8
